,Hero,Role,Pick_rate,Win_rate,Tie_Rate,On_fire,Rank,Date,Platform
19,Hanzo,DEFENSE,2.01,52.23,2.76,8.86,Grandmaster,2020-05-24 12:00:03.487597,PC
20,Torbjörn,DEFENSE,1.92,52.97,2.75,5.37,Grandmaster,2020-05-24 12:00:03.487597,PC
21,Echo,OFFENSE,1.83,53.17,2.02,7.65,Grandmaster,2020-05-24 12:00:03.487597,PC
22,Genji,OFFENSE,1.39,57.20,2.10,11.76,Grandmaster,2020-05-24 12:00:03.487597,PC
23,Doomfist,OFFENSE,1.20,55.28,2.41,6.01,Grandmaster,2020-05-24 12:00:03.487597,PC
24,Soldier: 76,OFFENSE,0.97,55.56,1.64,7.63,Grandmaster,2020-05-24 12:00:03.487597,PC
25,Mei,DEFENSE,0.78,50.69,2.37,5.11,Grandmaster,2020-05-24 12:00:03.487597,PC
26,Pharah,OFFENSE,0.76,62.14,2.44,17.23,Grandmaster,2020-05-24 12:00:03.487597,PC
27,Junkrat,DEFENSE,0.72,57.72,0.73,7.28,Grandmaster,2020-05-24 12:00:03.487597,PC
28,Symmetra,SUPPORT,0.51,50.53,1.04,6.50,Grandmaster,2020-05-24 12:00:03.487597,PC
29,Sombra,OFFENSE,0.44,62.05,0.60,13.35,Grandmaster,2020-05-24 12:00:03.487597,PC
30,Bastion,DEFENSE,0.22,49.41,0.00,5.88,Grandmaster,2020-05-24 12:00:03.487597,PC
31,Reaper,OFFENSE,0.21,53.75,1.23,11.46,Grandmaster,2020-05-24 12:00:03.487597,PC
0,Reinhardt,TANK,11.08,51.65,2.49,7.18,All,2020-05-24 12:02:08.275497,PSN
1,Moira,SUPPORT,9.24,50.17,2.37,10.35,All,2020-05-24 12:02:08.275497,PSN
